01000130020223101082022203091123424191960020000132       0820241   900005A    1000000000000002       2        00055066631202302900
01000131040323101082019204511123460152470020000492       0820241   420005A    1000000000000002       2        00055066631202302900
01000132030322401092019110911140088153860030000482       8888881   600001A    1000000000000002       2        00050063431202302900
01000133020213601052022204831222236151560030000162       0520251   480005A    1000000000000002       2        00053139461202302900
01000134020223701082023204091123524191960020000012       0820251   200005A    1000000000000002       2        00051601491202302900
01000135810823901012019109091123460175100018000562       0120241   480005AC   0500000500000002       2        00044910281202302900
01000136030215701012023204611140036193110030000082       0120261  1200005AC   0500000500000002       2        00033778231202302900
01000137060223901012023204091123460191960020000082       0120281   600005AC   0500000500000002       2        00045853861202302900
01000138040224501012022204531121160191960020000202       0120271   720005AC   0400000600000002       2        00044196521202302900
01000139020224101032023210521121136191960030000062       0320261    60005A    1000000000000002       2        00044210291202302900
01000140050726504032023310224 214002             10320234      2                             100000002        00042570572202302900
01000141010122002072023109094 400032             10920234      2                             100000002        00042892542202302900
01000142020224501062022210091123425191960025000152       0720241   600005A    1000000000000002       2        00055748621202303300
01000143020223301042023204521121136191960025000052       0420261   625005ACE  0500000200000302       2        00052780811202303300
01000144020312701012023210511150088151560050000082       8888881   360001AB   0500500000000002       2        00053047371202303300
01000144030523201012023210141150088124560090000082       8888882                             2       2        00052780811202303300
01000145020514801072022209921123324193410030000142       0720241  1500005ABC  0350350300000002       2        00061031351202303300
01000146020424602012022409911123124191960025000122       0120241  1200005ABC  0330330340000002       2        00068887611202303300
01000147020725602052019404094 222062             10520222      2       0                     100250002        00044679242202303300
01000148040214602012023203611221435162030027000282       1220251  1620001AC   0500000500000002       2        00058950731202303300
01000149020314001012023104721121324172270020000082       0120251   600001A    1000000000000002       2        00053661711202303300
01000149050513901012023210531123312125620050000082       0120241  1800001AC   0900000100000002       2        00053661711202303300
01000150040623001112021109521123125191960027000222       1220231  1130005A    1000000000000002       2        00053267981202303300
01000151020225401072020209531123588113860050000382       8888881  1500001A    1000000000000002       2        00056263181202303300
010001520303133040620231105212214101830300200005010620232      1  1200001AD   070000000030000100200002        00064622761202303300
01000153020213101122022210611150088151880080000092       8888881  1200005A    1000000000000002       2        00059094071202303300
010001540603226020320221049511222121919600250002410320232      2                             2       2        00058797122202303300
